Genesis
Exodus
Leviticus
Numbers
Deuteronomy
Joshua
Judges
Ruth
1 Samuel
2 Samuel
1 Kings
2 Kings
1 Chronicles
2 Chronicles
Ezra
Nehemiah
Tobit
Judith
Esther
1 Maccabees
2 Maccabees
Job
Psalms
Proverbs
Ecclesiastes
Song of Songs
Wisdom
Sirach
Isaiah
Jeremiah
Lamentations
Baruch
Ezekiel
Daniel
Hosea
Joel
Amos
Obadiah
Jonah
Micah
Nahum
Habakkuk
Zephaniah
Haggai
Zechariah
Malachi
